u"It isn't."	'Note to self: when eating at a BBQ place, get the stupid BBQ. This steak is awful :(\n'
u'I am extremely impressed with North Italia and I am highly recommending this restaurant to anyone looking for an incredibly delicious meal and the best service you will ever have.'	"Serve yourself and don't expect to be catered to BUT that's the charm of The Duce. Go here with a sense of fun and adventure, you will be blown away.\n"
u'Food is terrific and so are the folks.'	'Always awesome\n'
u'Food is terrific and so are the folks.'	'Great place! Have Andy and Steve make you one of their signature cocktails.\n'
u'Numerous vegetarian or vegan options.This is the best, secret most awesome place in town for a foot massage!'	'Afternoon groove is right here!\n'
u'Numerous vegetarian or vegan options.This is the best, secret most awesome place in town for a foot massage!'	'Here for the Sunday workout with Steve & gang!!\n'
u'Numerous vegetarian or vegan options.This is the best, secret most awesome place in town for a foot massage!'	"It's the happy Burlesque show!! I swear this is the coolest venue in town!\n"
u'Consistently good service and food.'	'You will need a nickname for ordering food or drinks.\n'
u"I'd like to come back and try the dinner menu, it looks good.I found this place based on good yelp reviews, and I was very happy with my meal."	'Get the groupon deal\n'
u'Usually one of the only places to get figs when they are in season - not yet- and at a good price.For local DYI auto projects, big and small, this is my place.'	'almond latte- amazing. almond milk made on site\n'
u'Usually one of the only places to get figs when they are in season - not yet- and at a good price.For local DYI auto projects, big and small, this is my place.'	"the cannon: splash of coffee in water- wouldn't get again\n"
u"Get a Boiling Crab server to come with you, grab a cup of Hot 'N' Juicy sauce to-go, pour it in a bag of gloriously-sized Cravin' Cajun shrimp."	'Avoid sitting at the long community "picnic" tables in front of the windows - you will feel absolutely every single movement and vibration from your neighbors - a terrible design... form over function. It will drive you nuts!\n'
u'They do have a customer rewards card...how many points i have earned I have no clue but I will def go back if I need something right away of if I break something again :)FIRST VISIT: came here with my hubby and had a wonderful experience, my friend referred us to here and when we arrived it was PACKED split the special Med Platter and special burger (both on special menu on table) we also got the chocolate lava cake as dessert and of course a few Martini\'s our fav is still the Lavender one SECOND VISIT: on our second visit it was packed again and I was glad I called ahead to reserve a seat, this night our service was really slow, no worries we were not in a rush we had the duck and the fish special and of course several of our fav Martini\'s even though we had a free desert via YELP we choose not to get it because we were sooooo stuffed the entree\'s are very filling THIRD VISIT: it was not busy and it was 7:30pm on a Thursday I came back with some friends (a couple) from back home in town visiting.......service honestly was very lacking they were not busy then I started bragging on Elements and how great and perfect everything is here... the three of us got several tapas actually four different ones, the calamari, the braised short ribs, lollipop lamb chops and the duck of course all the food was awesome and he brought out the calamari first they were not busy but I was still glad I asked for a table near the patio because is gets toooooooo tight at some of the other tables I explained to the waiter that I had a Martini Card there and he said "no worries" and asked my friends if they had one "I told him I am the only local" and he said "I\'ll put all the credits on your card" the strange part about it......he never asked my name........I def would have remembered because I have the longest name ever lol drinks were slow, looked like the bartender had a lot of regulars or his friends at the bar, once I was served the wrong flavor, I know bc I only order the Lavender one now :) once we had finished our convo and had finished our tapas and drinks too even.....he was no where to be found..... eventually I flagged down a busboy (who kept refilling our water which was nice) he went and found our guy and I got to cash out not sure if hubby and I will be back.......doubt if any of our Martini Card "punches" ever exist.....it\'s not the promos it\'s the principle of the whole experiences all and all this place has good food, but I feel it\'s too tiny and loud and people are getting turned off at the slow or forgotten service oh well, maybe we will try it againAs most people know...this is my local hangout... :X No really these guys always have AWESOME craft beer specials and a few really good organic beers!'	'Almond milk latte with macadamia paste.......\n'
u'They do have a customer rewards card...how many points i have earned I have no clue but I will def go back if I need something right away of if I break something again :)FIRST VISIT: came here with my hubby and had a wonderful experience, my friend referred us to here and when we arrived it was PACKED split the special Med Platter and special burger (both on special menu on table) we also got the chocolate lava cake as dessert and of course a few Martini\'s our fav is still the Lavender one SECOND VISIT: on our second visit it was packed again and I was glad I called ahead to reserve a seat, this night our service was really slow, no worries we were not in a rush we had the duck and the fish special and of course several of our fav Martini\'s even though we had a free desert via YELP we choose not to get it because we were sooooo stuffed the entree\'s are very filling THIRD VISIT: it was not busy and it was 7:30pm on a Thursday I came back with some friends (a couple) from back home in town visiting.......service honestly was very lacking they were not busy then I started bragging on Elements and how great and perfect everything is here... the three of us got several tapas actually four different ones, the calamari, the braised short ribs, lollipop lamb chops and the duck of course all the food was awesome and he brought out the calamari first they were not busy but I was still glad I asked for a table near the patio because is gets toooooooo tight at some of the other tables I explained to the waiter that I had a Martini Card there and he said "no worries" and asked my friends if they had one "I told him I am the only local" and he said "I\'ll put all the credits on your card" the strange part about it......he never asked my name........I def would have remembered because I have the longest name ever lol drinks were slow, looked like the bartender had a lot of regulars or his friends at the bar, once I was served the wrong flavor, I know bc I only order the Lavender one now :) once we had finished our convo and had finished our tapas and drinks too even.....he was no where to be found..... eventually I flagged down a busboy (who kept refilling our water which was nice) he went and found our guy and I got to cash out not sure if hubby and I will be back.......doubt if any of our Martini Card "punches" ever exist.....it\'s not the promos it\'s the principle of the whole experiences all and all this place has good food, but I feel it\'s too tiny and loud and people are getting turned off at the slow or forgotten service oh well, maybe we will try it againAs most people know...this is my local hangout... :X No really these guys always have AWESOME craft beer specials and a few really good organic beers!'	'daily vegan specials like this burger, they always have vegan sides like coconut cous cous, spicy garlic brussel sprouts, black fried rice\n'
